"word","n","date"
"yerin",4,2021-07-25
"yousef",4,2021-07-25
"bbnaija",171,2021-07-25
"rt",147,2021-07-25
"house",20,2021-07-25
"yerins",20,2021-07-25
"saga",18,2021-07-25
"white",18,2021-07-25
"whitemoney",17,2021-07-25
"money",16,2021-07-25
"dey",13,2021-07-25
"guys",13,2021-07-25
"boma",12,2021-07-25
"housemates",11,2021-07-25
"brother",10,2021-07-25
"don",10,2021-07-25
"laycon",10,2021-07-25
"finally",9,2021-07-25
"girls",9,2021-07-25
"im",9,2021-07-25
"season",9,2021-07-25
"guy",8,2021-07-25
"bbn",7,2021-07-25
"biggie",7,2021-07-25
"cross",7,2021-07-25
"na",7,2021-07-25
"people",7,2021-07-25
"time",7,2021-07-25
"tomorrow",7,2021-07-25
"vibe",7,2021-07-25
"machine",6,2021-07-25
"retweet",6,2021-07-25
"watch",6,2021-07-25
"bbnaija",237,2021-07-25
"rt",197,2021-07-25
"house",27,2021-07-25
"saga",26,2021-07-25
"white",25,2021-07-25
"whitemoney",25,2021-07-25
"money",23,2021-07-25
"yerins",22,2021-07-25
"dey",20,2021-07-25
"boma",16,2021-07-25
"brother",16,2021-07-25
"don",14,2021-07-25
"guys",14,2021-07-25
"emmanuel",12,2021-07-25
"housemates",12,2021-07-25
"girls",11,2021-07-25
"guy",11,2021-07-25
"im",11,2021-07-25
"laycon",11,2021-07-25
"na",11,2021-07-25
"people",11,2021-07-25
"finally",10,2021-07-25
"season",10,2021-07-25
"yousef",10,2021-07-25
"bbn",9,2021-07-25
"biggie",9,2021-07-25
"enter",9,2021-07-25
"time",9,2021-07-25
"cross",8,2021-07-25
"tomorrow",8,2021-07-25
"vibe",8,2021-07-25
"wey",8,2021-07-25
"women",8,2021-07-25
"bbnaija",570,2021-07-25
"rt",521,2021-07-25
"relnofollowtwitter",343,2021-07-25
"falsenanaa",334,2021-07-25
"hrefhttptwittercomdownloadiphone",190,2021-07-25
"hrefhttptwittercomdownloadandroid",129,2021-07-25
"bbnaijafalsena",87,2021-07-25
"yerins",77,2021-07-25
"boma",69,2021-07-25
"white",63,2021-07-25
